"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Distrito Federal";"75270";"14210";"7529";"3196";"74000";"14000";"8112";"3355";"80000";"16293";"8153";"3200";"89707";"15423";"7904";"2900";"87313";"15018";"9347";"3000";"87000";"15060";"8098";"2626";"70000";"15993";"4168";"3300";"83000";"16431";"7052";"3450";"85000";"16440";"6173";"3540";"85000";"16440";"7809";"3480";"85000";"16440";"7943";"3900";"85000";"16440";"5400";"3900";"94397";"16440";"5450";"3600";"85000";"16440";"5643";"3600";"85000";"21692";"6192";"3420"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Valor da produção (Mil Reais)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"9194";"242682";"118537";"252749";"64335";"309543";"136417";"328273";"74939";"306033";"204552";"593306";"133701";"309240";"136511";"505849";"140541";"402071";"197211";"601575";"32777";"411146";"305143";"609560";"59397";"563104";"329345";"779838";"44299";"610201";"334025";"951525";"12201";"589366";"315092";"999713";"18668";"415020";"557492";"1217348";"3474";"604146";"751811";"1676618";"6851";"493828";"1471400";"3360818";"5118";"610591";"1933099";"4763543";"13259";"786086";"2190122";"5003640";"10761";"719044";"1362471";"3727182"
"Acre";"7209";"284211";"31533";"219";"11185";"256919";"41450";"197";"11600";"261794";"54980";"-";"9625";"374173";"66549";"129";"13468";"450029";"59757";"926";"14472";"331840";"57888";"-";"10023";"330255";"58053";"195";"3502";"289937";"61876";"277";"2103";"256764";"56590";"1739";"2151";"221342";"54984";"6360";"2148";"208076";"71164";"14485";"2358";"214365";"130992";"51934";"2377";"201887";"198670";"66396";"2558";"243534";"164107";"99681";"2407";"329548";"128558";"117790"
"Amazonas";"71747";"369759";"20921";"324";"69964";"470509";"22499";"324";"71648";"516121";"25208";"504";"74296";"669456";"22015";"46";"78697";"666228";"22125";"-";"62014";"696080";"18589";"-";"59392";"840182";"9769";"-";"64806";"929663";"9424";"-";"66296";"844685";"6719";"-";"74300";"949229";"5657";"9000";"80080";"900348";"6426";"10000";"82754";"828640";"6989";"13000";"76038";"1014107";"7008";"34350";"70306";"810130";"10886";"38294";"381224";"1020966";"26589";"101583"
"Roraima";"509";"34703";"8320";"2744";"512";"45542";"7729";"7560";"520";"50174";"8260";"11200";"2011";"97984";"10410";"36606";"1231";"92501";"10795";"30603";"1753";"150440";"11725";"67288";"1347";"137012";"17627";"87476";"1333";"136723";"33314";"55979";"1221";"50187";"31580";"132558";"1182";"62826";"37370";"129785";"1411";"67049";"89325";"307483";"1954";"46464";"203531";"693180";"2629";"62885";"177627";"1025095";"2768";"74690";"119006";"920596";"2897";"108041";"176428";"839864"
"Pará";"29620";"1057077";"249847";"149811";"52045";"1021089";"294236";"229334";"53004";"1187507";"309222";"353454";"94267";"2208029";"356781";"499807";"75572";"1676500";"318787";"688146";"77613";"1221060";"398561";"932225";"77592";"1933296";"470505";"1574981";"74445";"1845760";"444526";"1568243";"79664";"1647494";"457890";"1744033";"105028";"1518521";"482179";"1985588";"124387";"2178350";"667890";"2823606";"126758";"2717388";"1360008";"5601633";"149969";"3174826";"1559459";"7483979";"150024";"4389571";"1972335";"6776976";"152720";"4640906";"1562172";"7307684"
"Amapá";"1711";"81005";"1813";"-";"1416";"95779";"1613";"-";"1572";"99957";"1350";"-";"1596";"68515";"994";"11314";"1934";"88602";"1019";"36136";"2133";"93149";"995";"23952";"1925";"86268";"930";"37183";"145";"99373";"974";"48491";"2885";"63887";"730";"52537";"5118";"64640";"817";"47984";"5006";"59241";"973";"44468";"3985";"62248";"1047";"17941";"3522";"69907";"2196";"19622";"2758";"52006";"2261";"23264";"2322";"55556";"1760";"24721"
"Tocantins";"67937";"40321";"99609";"594909";"151911";"43100";"155044";"807180";"137551";"40325";"163491";"969249";"201051";"40797";"134243";"1203175";"153285";"42343";"196558";"1951334";"162161";"48938";"285630";"2001281";"169595";"57389";"323258";"1924493";"165784";"78625";"375457";"2283976";"201959";"96201";"397065";"2613259";"246661";"80599";"531792";"2803522";"248356";"276934";"1175849";"4646661";"292381";"416754";"1927489";"9013076";"341337";"391993";"2305802";"10495855";"415996";"475926";"1946271";"9825827";"406760";"507409";"1839977";"7423563"
"Maranhão";"329813";"397204";"203514";"928342";"290867";"453618";"333877";"1035441";"239583";"441068";"369659";"1220199";"253691";"605127";"649488";"1321389";"675281";"560042";"613336";"1734291";"224314";"464910";"591935";"1949912";"196690";"406890";"511467";"1314891";"209656";"303714";"662101";"2322178";"213744";"243595";"721692";"3152954";"250340";"164536";"892742";"3068163";"245787";"158990";"1530695";"5204529";"292324";"191399";"2576633";"7867928";"452135";"216095";"3003354";"10273368";"488211";"244754";"2083612";"7891914";"505519";"248366";"2769647";"8338428"
"Piauí";"39907";"65979";"146360";"442960";"54202";"66594";"341270";"804604";"52147";"51854";"400719";"934416";"70161";"42902";"254271";"775148";"75256";"44419";"491005";"1430915";"80853";"60026";"457237";"1631254";"79416";"70341";"474951";"743437";"104756";"91132";"809958";"2199289";"103540";"109720";"877040";"2842561";"124296";"96092";"982068";"2542666";"125235";"130758";"1622506";"3473000";"149344";"167476";"2725435";"7131695";"205407";"201808";"3155236";"8628872";"218467";"316653";"3426461";"8103444";"228444";"274718";"1570988";"7322801"
"Ceará";"114556";"121125";"94585";"2904";"118247";"175934";"519181";"-";"124181";"133807";"73410";"3815";"203819";"136790";"78449";"-";"125192";"190888";"217438";"-";"98436";"137495";"82318";"-";"98432";"162186";"105531";"-";"99071";"215080";"233241";"-";"95934";"220919";"292315";"222";"87345";"193041";"301754";"-";"83787";"245514";"530482";"2295";"91886";"294889";"573501";"11750";"99268";"454892";"758188";"21982";"115913";"506633";"433586";"45776";"122972";"524016";"457195";"25110"
"Rio Grande do Norte";"192804";"58873";"4989";"-";"238096";"49322";"28232";"-";"286591";"84818";"1498";"-";"261999";"49566";"8800";"-";"270803";"40351";"10269";"-";"280543";"38459";"3049";"-";"326010";"45275";"3005";"-";"394689";"67299";"3642";"-";"363104";"76355";"19397";"-";"423916";"54450";"22522";"-";"536131";"112192";"27839";"-";"619599";"152681";"17656";"-";"740744";"137464";"38839";"-";"720429";"245384";"37639";"-";"633318";"248107";"31803";"600"
"Paraíba";"292685";"51786";"5451";"-";"431832";"43439";"34357";"-";"407070";"51543";"4600";"-";"386120";"70866";"17494";"-";"438460";"62200";"17626";"1050";"425356";"62612";"7150";"-";"648949";"79228";"11505";"-";"327499";"94911";"18833";"-";"432491";"82034";"41204";"-";"435935";"80262";"29810";"-";"543712";"88449";"72418";"-";"815947";"93963";"56852";"-";"976479";"113595";"96695";"140";"1143029";"126077";"51775";"-";"1216614";"160977";"62250";"-"
"Pernambuco";"1261279";"126943";"28770";"-";"1339325";"110020";"61875";"-";"908785";"314278";"13245";"-";"939032";"175432";"15380";"-";"962841";"135756";"32025";"-";"1199039";"124888";"20241";"-";"1334885";"85778";"12583";"-";"1080595";"116056";"29351";"-";"1116593";"158139";"38406";"-";"1140722";"142672";"21874";"-";"1657082";"216152";"86361";"-";"2318844";"265501";"101181";"1200";"2823334";"343620";"100161";"-";"2649098";"547299";"76089";"664";"2728210";"602509";"135018";"-"
"Alagoas";"1245711";"43000";"10650";"-";"1785459";"49560";"16346";"-";"1627102";"139151";"905";"-";"1707360";"100639";"4250";"-";"1665817";"85150";"5656";"-";"1496675";"99377";"10984";"738";"1388500";"140049";"12809";"1601";"1236870";"280525";"18337";"1312";"1075954";"166454";"16885";"2733";"1235075";"99990";"30267";"14179";"1112900";"288527";"64082";"7315";"1651373";"474321";"114501";"20546";"1639960";"399963";"68308";"20962";"2253674";"448923";"97760";"39840";"2528156";"400689";"70409";"35327"
"Sergipe";"188010";"76818";"246447";"-";"207926";"86218";"215545";"-";"230747";"174717";"168525";"-";"178039";"234370";"290270";"-";"174461";"133688";"330221";"-";"189661";"140841";"269839";"-";"152983";"183545";"105918";"-";"137494";"137617";"450668";"-";"167815";"65034";"72816";"-";"151328";"56632";"568055";"-";"187954";"59377";"940512";"-";"191638";"66977";"943785";"-";"205114";"119829";"1008595";"-";"253060";"136049";"1021628";"-";"309305";"142802";"1062580";"-"
"Bahia";"375154";"564067";"779364";"1650571";"451839";"518095";"807521";"2382224";"429673";"554338";"841541";"2682367";"421199";"556479";"881854";"2301354";"1044622";"727734";"1127056";"3097332";"456300";"702931";"1156655";"4452439";"432209";"763283";"1106890";"3492057";"353148";"536099";"860934";"5326260";"380419";"439884";"1148730";"7102383";"413204";"418393";"1043818";"5925745";"464482";"399603";"2141299";"10295251";"634266";"521820";"2599200";"17515830";"727067";"631803";"3506018";"20784173";"776758";"627014";"2948563";"17039054";"661444";"617502";"2367762";"14432772"
"Minas Gerais";"2387347";"417412";"2146321";"1703166";"4513146";"394466";"2944432";"2143893";"3940672";"362775";"3022281";"2513285";"3952590";"431327";"3066441";"2946283";"3996975";"427510";"3018268";"3453701";"4074646";"347555";"2999614";"3503340";"4702994";"379619";"4185139";"5347630";"5486701";"393831";"3186535";"5718101";"5603121";"329413";"3500793";"6007663";"5648110";"258467";"4429923";"6003347";"6202996";"249249";"6100649";"8476006";"8992756";"354795";"10887818";"18100446";"10371158";"524927";"11202900";"22759132";"11462008";"471935";"7845375";"21597044";"12219800";"469764";"5763118";"13653404"
"Espírito Santo";"249667";"43749";"26076";"-";"251725";"42474";"46736";"-";"205052";"53294";"40730";"-";"179691";"65927";"36344";"-";"180555";"35098";"35828";"-";"124069";"40058";"17209";"-";"128661";"51501";"31080";"-";"121193";"70455";"26622";"-";"131183";"40464";"29484";"-";"125814";"41639";"27080";"-";"150654";"72151";"37149";"-";"251849";"93710";"63169";"-";"284106";"145937";"89976";"563";"243033";"166724";"98567";"5597";"235266";"131064";"82663";"2951"
"Rio de Janeiro";"210872";"69366";"8253";"-";"195333";"110454";"9294";"-";"270072";"129467";"8346";"-";"209518";"135334";"7222";"-";"176437";"131942";"6213";"-";"204141";"152820";"5925";"-";"168220";"167769";"7877";"-";"185557";"129773";"5767";"-";"130474";"125586";"5165";"-";"175779";"149615";"6160";"-";"213308";"176543";"6475";"-";"363699";"161983";"11704";"846";"387040";"233110";"16338";"2658";"277579";"258186";"15492";"6219";"321757";"195876";"7879";"4179"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"15627096";"254617";"1378495";"921711";"20974726";"352551";"1346515";"901771";"22531851";"357049";"1844017";"1423334";"23084234";"485571";"1726578";"1671773";"21417291";"414283";"1538592";"1708011";"22642728";"264725";"1895732";"2398440";"27610365";"464420";"2754431";"3165672";"30378109";"595786";"2050155";"3462056";"28052090";"612697";"2474321";"3967501";"28813234";"577127";"2721775";"4016746";"32516332";"898628";"4340811";"6802029";"40638692";"908958";"5164060";"10198570";"50649003";"1249017";"6630160";"12392459";"56729446";"1498667";"5112206";"11912646";"56313234";"1130275";"3675089";"7161317"
"Paraná";"1767438";"1074440";"3472755";"7689336";"2155436";"967469";"4688586";"10809412";"2437004";"978010";"6715403";"8879090";"2516504";"1458174";"5829742";"14627747";"2503427";"1178861";"5403243";"15674239";"2601666";"826180";"5544628";"16496307";"2881385";"1355810";"7672260";"19050167";"2632614";"1800193";"5999687";"19747940";"2509997";"1803662";"6291050";"21583200";"2777958";"1351121";"8117046";"18983343";"3053516";"1508256";"12664960";"30916470";"3480677";"1684435";"15040284";"48390237";"3699836";"2335965";"20471023";"39146150";"4672937";"3025786";"15043426";"51315618";"4383463";"2191877";"13607461";"34549450"
"Santa Catarina";"40466";"165540";"939801";"730264";"57709";"183565";"1445497";"1031549";"65029";"140860";"1153163";"877642";"74366";"179218";"1392252";"1449428";"63193";"191407";"1282417";"1761491";"57449";"142258";"1208696";"1942543";"74080";"154159";"1638510";"2597647";"74284";"260400";"1297849";"2550334";"32878";"248578";"1417202";"2753686";"38153";"200483";"1586317";"2725018";"32658";"253524";"1930399";"3095490";"44952";"321785";"2615663";"5335478";"60321";"356933";"3297498";"6396938";"81718";"446457";"3075119";"7016732";"73939";"461037";"1761128";"5325337"
"Rio Grande do Sul";"140707";"852668";"1708573";"6283697";"127624";"810195";"2333421";"8105388";"106870";"881827";"1386005";"5325671";"122597";"1003327";"2362533";"11540781";"108236";"1122295";"2170651";"13870885";"91840";"1093718";"2190853";"15592941";"95996";"1177919";"2939673";"18838237";"100702";"1134305";"2532896";"18189444";"95781";"950199";"2331987";"21316916";"93154";"899858";"3118157";"20641606";"85148";"881806";"3050335";"16631069";"115835";"1033402";"5904282";"54519007";"97996";"1095215";"4608718";"29192603";"103559";"1437522";"5183639";"28696801";"112957";"1463527";"4155826";"36103542"
"Mato Grosso do Sul";"1445114";"116865";"826375";"2629070";"1907455";"130095";"1314920";"3317554";"2169351";"147857";"2348731";"3356334";"2372416";"231407";"1919140";"4778658";"2643959";"236170";"2079803";"6064054";"2819025";"191846";"3063363";"6589584";"3761288";"295008";"3283709";"7536521";"3308652";"395804";"2843153";"8190630";"3479657";"353211";"3555542";"11121765";"4325719";"325355";"4324176";"9583715";"5029647";"435780";"7442091";"14296253";"5494623";"578446";"8029312";"30024860";"5953495";"917339";"16819939";"24760151";"6372629";"1017406";"8561016";"33959597";"7998320";"791326";"6137502";"19232215"
"Mato Grosso";"560206";"296516";"1203626";"8733267";"824816";"253528";"2894830";"13240572";"991575";"319323";"4490894";"14932755";"1164480";"320656";"4725698";"17865802";"1109785";"327194";"3718549";"23665314";"1211122";"286628";"5716970";"23876689";"1217698";"352912";"7728230";"27487121";"1311622";"264889";"6964508";"27793060";"1336975";"256286";"9217546";"29976534";"1506651";"295094";"11836056";"32764470";"1421224";"247902";"19120783";"43469342";"1517998";"388564";"38447535";"88100858";"1822884";"386655";"42055965";"105106390";"2073107";"425279";"29501004";"98914301";"2235012";"450234";"29217248";"63847218"
"Goiás";"1648003";"89968";"1336582";"4525399";"2942548";"85274";"2077929";"5096662";"3173841";"98409";"3025008";"6240152";"4329219";"65337";"2557317";"7243781";"4028818";"80419";"2855049";"8402280";"4998138";"89680";"3263433";"8114687";"5918590";"94305";"3704881";"10758388";"5962578";"109158";"3532569";"11646649";"6335663";"108444";"4179573";"12197344";"6396316";"111666";"5638783";"12522524";"6411874";"153513";"7559730";"16486647";"7084432";"183609";"14757501";"34127548";"12191227";"194548";"14486804";"42982575";"10584857";"202093";"10577155";"38845072";"11181863";"204854";"9833823";"30079916"
"Distrito Federal";"4515";"7055";"83714";"91365";"4574";"7711";"109983";"127499";"4302";"8732";"149123";"148855";"3028";"13870";"172072";"155295";"2348";"12052";"239368";"217728";"2380";"14432";"186392";"171790";"1761";"20457";"193080";"279730";"2220";"14790";"215009";"249549";"1147";"14796";"181375";"326512";"1215";"25688";"222708";"279053";"1722";"25688";"389695";"414516";"2335";"41614";"409999";"737412";"1734";"32880";"393827";"915926";"1133";"61650";"229583";"604858";"2614";"34477";"250740";"576554"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Valor da produção - percentual do total geral"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"0,76";"20,12";"9,83";"20,95";"4,63";"22,30";"9,83";"23,65";"3,95";"16,14";"10,79";"31,28";"7,98";"18,46";"8,15";"30,19";"7,07";"20,22";"9,92";"30,25";"1,64";"20,52";"15,23";"30,42";"2,26";"21,39";"12,51";"29,63";"1,39";"19,12";"10,47";"29,81";"0,40";"19,33";"10,33";"32,79";"0,58";"12,89";"17,31";"37,80";"0,08";"14,52";"18,07";"40,29";"0,10";"7,00";"20,87";"47,67";"0,05";"5,86";"18,55";"45,72";"0,13";"7,43";"20,71";"47,31";"0,11";"7,06";"13,38";"36,60"
"Acre";"1,78";"70,27";"7,80";"0,05";"2,77";"63,71";"10,28";"0,05";"2,68";"60,48";"12,70";"-";"1,71";"66,33";"11,80";"0,02";"2,04";"68,17";"9,05";"0,14";"2,63";"60,38";"10,53";"-";"1,73";"56,97";"10,02";"0,03";"0,68";"56,33";"12,02";"0,05";"0,46";"56,13";"12,37";"0,38";"0,51";"52,20";"12,97";"1,50";"0,49";"47,14";"16,12";"3,28";"0,41";"37,03";"22,63";"8,97";"0,35";"29,88";"29,41";"9,83";"0,35";"32,96";"22,21";"13,49";"0,29";"39,30";"15,33";"14,05"
"Amazonas";"8,91";"45,91";"2,60";"0,04";"6,70";"45,04";"2,15";"0,03";"6,48";"46,64";"2,28";"0,05";"5,62";"50,63";"1,67";"0,00";"6,19";"52,37";"1,74";"-";"4,56";"51,14";"1,37";"-";"3,59";"50,80";"0,59";"-";"3,77";"54,02";"0,55";"-";"4,10";"52,26";"0,42";"-";"4,41";"56,36";"0,34";"0,53";"5,01";"56,35";"0,40";"0,63";"5,34";"53,43";"0,45";"0,84";"3,88";"51,77";"0,36";"1,75";"3,07";"35,41";"0,48";"1,67";"12,28";"32,87";"0,86";"3,27"
"Roraima";"0,34";"23,18";"5,56";"1,83";"0,28";"24,91";"4,23";"4,14";"0,23";"22,52";"3,71";"5,03";"0,48";"23,53";"2,50";"8,79";"0,32";"24,20";"2,82";"8,01";"0,32";"27,84";"2,17";"12,45";"0,27";"27,33";"3,52";"17,45";"0,25";"25,81";"6,29";"10,57";"0,29";"11,94";"7,52";"31,55";"0,24";"12,62";"7,51";"26,06";"0,18";"8,38";"11,16";"38,41";"0,15";"3,50";"15,32";"52,19";"0,15";"3,69";"10,43";"60,19";"0,17";"4,56";"7,27";"56,21";"0,17";"6,27";"10,23";"48,72"
"Pará";"0,95";"33,96";"8,03";"4,81";"1,48";"29,02";"8,36";"6,52";"1,37";"30,62";"7,97";"9,11";"1,74";"40,77";"6,59";"9,23";"1,34";"29,81";"5,67";"12,24";"0,75";"11,74";"3,83";"8,96";"0,79";"19,59";"4,77";"15,96";"0,70";"17,25";"4,15";"14,65";"0,79";"16,35";"4,54";"17,31";"0,99";"14,33";"4,55";"18,74";"0,81";"14,26";"4,37";"18,49";"0,61";"13,16";"6,59";"27,13";"0,62";"13,03";"6,40";"30,72";"0,52";"15,35";"6,90";"23,70";"0,42";"12,91";"4,34";"20,32"
"Amapá";"1,38";"65,38";"1,46";"-";"0,98";"66,16";"1,11";"-";"0,98";"62,47";"0,84";"-";"1,17";"50,37";"0,73";"8,32";"1,01";"46,49";"0,53";"18,96";"1,19";"52,10";"0,56";"13,40";"1,05";"46,85";"0,51";"20,19";"0,07";"47,40";"0,46";"23,13";"1,72";"38,20";"0,44";"31,41";"2,98";"37,66";"0,48";"27,96";"2,97";"35,14";"0,58";"26,38";"2,63";"41,07";"0,69";"11,84";"2,16";"42,91";"1,35";"12,04";"1,92";"36,11";"1,57";"16,15";"1,12";"26,91";"0,85";"11,97"
"Tocantins";"5,34";"3,17";"7,82";"46,73";"9,24";"2,62";"9,43";"49,08";"8,00";"2,35";"9,51";"56,37";"9,36";"1,90";"6,25";"56,04";"5,24";"1,45";"6,72";"66,68";"5,08";"1,53";"8,95";"62,68";"5,10";"1,73";"9,72";"57,87";"4,46";"2,12";"10,10";"61,45";"4,71";"2,24";"9,26";"60,92";"5,17";"1,69";"11,16";"58,81";"3,04";"3,39";"14,38";"56,81";"2,17";"3,10";"14,32";"66,98";"2,25";"2,59";"15,21";"69,24";"2,77";"3,17";"12,97";"65,47";"3,17";"3,96";"14,35";"57,91"
"Maranhão";"13,41";"16,15";"8,28";"37,75";"10,10";"15,75";"11,59";"35,95";"8,23";"15,16";"12,70";"41,93";"7,12";"16,99";"18,23";"37,09";"15,26";"12,66";"13,86";"39,20";"5,77";"11,96";"15,23";"50,17";"6,71";"13,89";"17,46";"44,87";"4,98";"7,22";"15,74";"55,20";"4,32";"4,93";"14,59";"63,75";"5,05";"3,32";"18,02";"61,92";"3,17";"2,05";"19,72";"67,03";"2,50";"1,64";"22,02";"67,23";"3,05";"1,46";"20,24";"69,22";"4,20";"2,11";"17,95";"67,97";"3,90";"1,92";"21,36";"64,30"
"Piauí";"4,34";"7,18";"15,92";"48,18";"3,07";"3,77";"19,31";"45,54";"2,94";"2,93";"22,61";"52,72";"4,63";"2,83";"16,77";"51,12";"3,02";"1,78";"19,73";"57,49";"3,02";"2,25";"17,10";"61,02";"4,60";"4,07";"27,48";"43,02";"2,74";"2,38";"21,18";"57,50";"2,27";"2,40";"19,22";"62,28";"2,86";"2,21";"22,62";"58,57";"2,04";"2,13";"26,47";"56,66";"1,37";"1,53";"24,95";"65,28";"1,57";"1,55";"24,18";"66,14";"1,69";"2,44";"26,46";"62,57";"2,21";"2,66";"15,19";"70,79"
"Ceará";"7,85";"8,30";"6,48";"0,20";"4,61";"6,86";"20,25";"-";"7,42";"7,99";"4,38";"0,23";"10,18";"6,83";"3,92";"-";"5,74";"8,75";"9,96";"-";"5,95";"8,31";"4,98";"-";"5,05";"8,31";"5,41";"-";"3,66";"7,93";"8,60";"-";"3,57";"8,22";"10,88";"0,01";"3,00";"6,63";"10,37";"-";"2,24";"6,57";"14,19";"0,06";"2,23";"7,14";"13,89";"0,28";"1,92";"8,78";"14,63";"0,42";"2,31";"10,11";"8,66";"0,91";"2,00";"8,51";"7,43";"0,41"
"Rio Grande do Norte";"24,63";"7,52";"0,64";"-";"24,17";"5,01";"2,87";"-";"27,81";"8,23";"0,15";"-";"24,54";"4,64";"0,82";"-";"26,63";"3,97";"1,01";"-";"27,57";"3,78";"0,30";"-";"25,76";"3,58";"0,24";"-";"27,98";"4,77";"0,26";"-";"22,88";"4,81";"1,22";"-";"24,92";"3,20";"1,32";"-";"26,77";"5,60";"1,39";"-";"28,85";"7,11";"0,82";"-";"25,89";"4,80";"1,36";"-";"20,54";"7,00";"1,07";"-";"17,76";"6,96";"0,89";"0,02"
"Paraíba";"35,72";"6,32";"0,67";"-";"38,41";"3,86";"3,06";"-";"39,39";"4,99";"0,45";"-";"33,31";"6,11";"1,51";"-";"38,69";"5,49";"1,56";"0,09";"37,51";"5,52";"0,63";"-";"45,59";"5,57";"0,81";"-";"27,41";"7,94";"1,58";"-";"33,52";"6,36";"3,19";"-";"36,00";"6,63";"2,46";"-";"35,79";"5,82";"4,77";"-";"44,98";"5,18";"3,13";"-";"43,13";"5,02";"4,27";"0,01";"44,27";"4,88";"2,01";"-";"40,21";"5,32";"2,06";"-"
"Pernambuco";"44,38";"4,47";"1,01";"-";"46,04";"3,78";"2,13";"-";"33,98";"11,75";"0,50";"-";"30,99";"5,79";"0,51";"-";"35,60";"5,02";"1,18";"-";"40,34";"4,20";"0,68";"-";"39,74";"2,55";"0,37";"-";"32,64";"3,51";"0,89";"-";"27,66";"3,92";"0,95";"-";"24,67";"3,09";"0,47";"-";"30,68";"4,00";"1,60";"-";"36,35";"4,16";"1,59";"0,02";"37,19";"4,53";"1,32";"-";"28,73";"5,94";"0,83";"0,01";"23,35";"5,16";"1,16";"-"
