codigo_estacao,nome_estacao,estado_uf,latitude,longitude,altitude,data_inicio_operacao,situacao_status,tipo_estacao,entidade_responsavel,eh_capital,codigo_distrito,codigo_oscar,codigo_wsi
A507,UBERLANDIA,MG,-18.91694443,-48.25555555,874.77,2002-12-17T22:00:00.000-02:00,Operante,Automatica,INMET,N,05,0-2000-0-86776,0-76-0-3170206000000036
A437,UNA,BA,-15.28027777,-39.09138888,74.08,2008-06-24T21:00:00.000-03:00,Pane,Automatica,INMET,,04,0-2000-0-86724,0-76-0-2932507000000389
A542,UNAI,MG,-16.55416666,-46.88194443,640.85,2007-06-15T21:00:00.000-03:00,Pane,Automatica,INMET,N,05,0-2000-0-86738,0-76-0-3170404000000212
A124,URUCARA,AM,-2.53472221,-57.75805555,18.49,2008-04-16T21:00:00.000-03:00,Pane,Automatica,INMET,,01,0-2000-0-81702,0-76-0-1304302000000341
A346,URUCUI,PI,-7.44138888,-44.34499999,398.83,2008-03-05T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81905,0-76-0-2211209000000305
A809,URUGUAIANA,RS,-29.83999999,-57.08194443,74.29,2006-09-27T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86973,0-76-0-4322400000000112
A814,URUSSANGA,SC,-28.53249999,-49.31527777,40.56,2008-05-28T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86970,0-76-0-4219002000000368
A880,VACARIA,RS,-28.51361111,-50.88277777,969.89,2008-04-25T21:00:00.000-03:00,Operante,Automatica,INMET,,08,0-2000-0-86966,0-76-0-4322509000000350
A611,VALENCA,RJ,-22.35805555,-43.69555555,370,2006-09-26T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86875,0-76-0-3306107000000111
A444,VALENCA,BA,-13.3436111,-39.12666666,93.12,2009-06-28T21:00:00.000-03:00,Pane,Automatica,INMET,,04,0-2000-0-86676,0-76-0-2932903000000451
A363,VALENCA DO PIAUI,PI,-6.4236111,-41.74888888,372,2009-04-17T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81870,0-76-0-2211308000000444
A734,VALPARAISO,SP,-21.31916666,-50.93027777,381.9,2007-08-29T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86838,0-76-0-3556305000000245
A515,VARGINHA,MG,-21.56638888,-45.40416666,949.78,2006-07-12T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86848,0-76-0-3170701000000083
A633,VENDA NOVA DO IMIGRANTE,ES,-20.38555555,-41.18999999,722,2017-02-09T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-84809,0-76-0-3205069000000539
A872,VENTANIA,PR,-24.28027777,-50.21027777,1093.41,2011-04-14T21:00:00.000-03:00,Operante,Automatica,INMET,,08,0-2000-0-86920,0-76-0-4128534000000471
B824,VIAMAO,RS,-30.11527777,-50.92916666,65,2026-03-16T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4323002000000677
A510,VICOSA,MG,-20.7625,-42.86388888,697.64,2005-09-14T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86824,0-76-0-3171303000000074
A922,VILA BELA DA SANTISSIMA TRINDADE,MT,-15.06277777,-59.87305554,213,2006-11-30T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-86701,0-76-0-5105507000000153
A634,VILA VELHA,ES,-20.46694443,-40.40388888,25,2017-02-14T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86831,0-76-0-3205200000000540
A938,VILHENA,RO,-12.73499999,-60.15777777,583.3,2008-08-25T21:00:00.000-03:00,Operante,Automatica,INMET,,09,0-2000-0-86642,0-76-0-1100304000000416
A612,VITORIA,ES,-20.27083332,-40.30583333,9,2006-10-30T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86830,0-76-0-3205309000000130
A414,VITORIA DA CONQUISTA,BA,-14.88638888,-40.80138888,879.38,2007-05-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,04,0-2000-0-86697,0-76-0-2933307000000204
A858,XANXERE,SC,-26.9386111,-52.39805555,878.74,2008-03-14T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86940,0-76-0-4219507000000318
A247,XINGUARA,PA,-7.11055555,-49.9261111,245,2016-09-10T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81896,0-76-0-1508407000000527
